Elevation,avg_hillshade,Soil_Type,Area,Forest_Cover
2572.0,219.0,Soil_Type11,Comanche Peak,Lodgepole Pine
2824.0,214.0,Soil_Type12,Rawah,Lodgepole Pine
2529.0,185.0,Soil_Type18,Rawah,Lodgepole Pine
2050.0,174.0,Soil_Type10,Cache la Poudre,Ponderosa Pine
3232.0,175.5,Soil_Type38,Rawah,Spruce/Fir
2860.0,241.0,Soil_Type12,Rawah,Lodgepole Pine
3176.0,197.0,Soil_Type22,Comanche Peak,Spruce/Fir
2908.0,192.0,Soil_Type32,Comanche Peak,Lodgepole Pine
2502.0,194.33333333333334,Soil_Type10,Cache la Poudre,Ponderosa Pine
3171.0,164.5,Soil_Type23,Rawah,Spruce/Fir
2508.0,164.0,Soil_Type10,Comanche Peak,Douglas-fir
2937.0,231.0,Soil_Type24,Comanche Peak,Spruce/Fir
3238.0,171.0,Soil_Type39,Rawah,Spruce/Fir
3064.0,189.66666666666666,Soil_Type29,Rawah,Lodgepole Pine
2923.0,170.66666666666666,Soil_Type32,Comanche Peak,Lodgepole Pine
3357.0,229.0,Soil_Type39,Rawah,Spruce/Fir
3217.0,187.0,Soil_Type31,Comanche Peak,Spruce/Fir
3072.0,212.0,Soil_Type13,Comanche Peak,Lodgepole Pine
2775.0,188.0,Soil_Type33,Comanche Peak,Lodgepole Pine
2692.0,201.0,Soil_Type12,Rawah,Lodgepole Pine
3171.0,186.0,Soil_Type31,Comanche Peak,Spruce/Fir
2843.0,91.0,Soil_Type29,Rawah,Lodgepole Pine
2605.0,215.5,Soil_Type2,Comanche Peak,Douglas-fir
3015.0,192.66666666666666,Soil_Type32,Comanche Peak,Lodgepole Pine
3020.0,164.5,Soil_Type39,Comanche Peak,Spruce/Fir
2607.0,183.66666666666666,Soil_Type29,Rawah,Lodgepole Pine
3177.0,188.0,Soil_Type31,Comanche Peak,Spruce/Fir
2812.0,176.33333333333334,Soil_Type10,Comanche Peak,Ponderosa Pine
2963.0,184.5,Soil_Type22,Rawah,Lodgepole Pine
2865.0,243.0,Soil_Type34,Comanche Peak,Aspen
3322.0,230.0,Soil_Type27,Comanche Peak,Lodgepole Pine
2518.0,174.33333333333334,Soil_Type4,Comanche Peak,Ponderosa Pine
2955.0,182.0,Soil_Type32,Comanche Peak,Spruce/Fir
2468.0,213.33333333333334,Soil_Type4,Comanche Peak,Ponderosa Pine
2706.0,236.0,Soil_Type10,Comanche Peak,Lodgepole Pine
3293.0,190.5,Soil_Type27,Comanche Peak,Lodgepole Pine
3108.0,201.66666666666666,Soil_Type22,Comanche Peak,Spruce/Fir
